selection_position,selection_sha256,episode_index,start_step,goal_step,valid_row_rank,pair_hash,success_serial_decoupled__f_only,success_serial_decoupled__g_only,success_serial_decoupled__f_plus_g,success_serial_coupled__f_only,success_serial_coupled__g_only,success_serial_coupled__f_plus_g,success_hybrid__f_only,success_hybrid__g_only,success_hybrid__f_plus_g,success_parallel_real__f_only,success_parallel_real__g_only,success_parallel_real__f_plus_g,success_goal_hybrid__f_only,success_goal_hybrid__g_only,success_goal_hybrid__f_plus_g,success_imaginary_hybrid__f_only,success_imaginary_hybrid__g_only,success_imaginary_hybrid__f_plus_g,success_direct_goal_hybrid__f_only,success_direct_goal_hybrid__c_only,success_direct_goal_hybrid__f_plus_c
0,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,638,25,75,96363,c7cad57533aa8e769efc7ddfb865b3fc3b2aae35ff012adc3751eee5e7000ee9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,679,29,79,102558,17827c47613d6809e7665d53f6d095c9e4c946a0632ce4bb7a3f8482407639b7,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false
2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,859,65,115,129774,c004df04f9dfba18398d1929fa5edb2bc56e48c1a12256007697707e3e747c24,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,892,72,122,134764,9d4fb5c7c7358aa8acced10777206ca52a58e5f7267fc5ea1f86c074fcdae1d4,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true
4,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,921,52,102,139123,9878d47f31bec0c38b9029e2e3785151bd05cc912ddb4cd0d80ed4f447f89942,false,false,false,true,false,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,false
5,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,941,112,162,142203,763a41f813beef22097ccb0c85b844d45cb066fea3461b2879c4bddaee8d3c47,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,1281,16,66,193447,d8c51b5ccb690c618491ade63a7b45b309471b83bc0d33655a1631cf9af4db15,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
7,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,1652,42,92,249494,32b2daf82fe82004fb8a1305ae0da48538fcc17ce18fc38ad23908bd1db0a117,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false
8,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,1825,69,119,275644,fa9c52a2230d9915573d3363112cdf3687ef84b139c7c25775e548ca2c0d63ce,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,2014,96,146,304210,e751896dcb842517d3c6bdf3aa578183b7fa6a84d2e6196d7b6af4aa518306e8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
10,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,2272,54,104,343126,be6730b8881f936b5b088e2a97813f4e27e5afd815033aac07e25ff0ee326175,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true
11,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,2767,86,136,417903,601ee9728f4ce5f8d09fa293824e89f90ad765c90c4ba013ef661bcf4a094ad2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
12,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,3545,36,86,535331,fe627c72495d3bba3a4546a5921fddf0edb09130d00552297963ba304fca16df,false,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,false,false,true,false,false
13,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,3707,137,187,559894,d95f390300009c1ceac2fa68701fa0587c21c87c6fb92aaf0e9196fc441f88ff,true,true,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,true
14,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,4024,12,62,607636,bdf27cc4e4a28fb73615ae88fa5458a5628bcd4cea6c735aafe29cb8a78d83da,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,4330,3,53,653833,30c6b259881f329801d1d289c1651ce68cf6d9f38345973a8b2fb42666493e78,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
16,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,4388,97,147,662685,a405fb726ad16116e6d10ba203cb2cb29c36a01826f43896545ee58286b61bec,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
17,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,4434,12,62,669546,c39eac38d6638570428f46ca536181d248d646b4c2e604c87c33dcbd931e81c2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
18,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,4456,130,180,672986,77e79b44d4f7aa9baf086d07f920aa7e764eb384906e469de55ea4c346e553b0,true,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false
19,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,4503,115,165,680068,604f6ea269450b258b99e90aa5aa703c751fb080200a33e5890efdde14d9174c,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
20,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,4504,80,130,680184,695ae136c0cf501d6364ee303b1f4860cbe35cf4ecd21adaf7f30a69afcc247f,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
21,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,5003,63,113,755516,e779ae93a234f3b2dc5843d92f8b30686ecaea1ca8f43ba2b1ff1f6423440d69,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true
22,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,5132,22,72,774954,469f84fb6cc6452ab84bdb3b2ae75efc0ab2111e55e175466e64a78a9c0e69b1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
23,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,5264,98,148,794962,32ca5cb9d06c3dc9c3a3e92dcf945b02aa762d28b26b593fec814465b8faebd0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
24,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,5454,31,81,823585,a8f2dd7db8ccb7d163af6c55c9265a900213ffe862d9703aec4abf150a26a564,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false
25,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,5545,118,168,837413,2c1a795ef897a47e4a80ac8ffa41dfbe840ac54e08f2357a128d4d7670192f39,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
26,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,6316,90,140,953806,12391b7a69d09cecbdbecce1fa3040b41420805b1bc4e06be83a6545dee4f740,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
27,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,6438,82,132,972220,1aff18a1e5a817698f653b6cbb8f72d8f7d90bd968b5a996ddeb9f9b9f80ae5f,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
28,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,6545,76,126,988371,a61c084a52f6f166598b5a0bb098eb7eddaec79a4b41be5e9e5b291eec75aa71,false,false,true,true,false,false,true,false,true,false,false,true,true,false,false,true,false,false,true,false,false
29,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,6779,27,77,1023656,398152f8c02e13bcd69bf8daf3ce0d981b9538e9212fc29e3c246694258197b4,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
30,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,6973,72,122,1052995,da19f145c227f5a67f8577cc17dae79e3e6715c875b88b0b6fb178bc16a677f8,true,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,false,true
31,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7005,29,79,1057784,4559534a216c0359d3e23f0a5062be0afafa4b4630eaae402214701b8d171c88,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
32,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7174,90,140,1083364,2ecdb70b0b3703aacf5790ef239e2bfad3b2d94a72b8cfe47791f6c12c1e3fe4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
33,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7357,51,101,1110958,60ed157c49a187be4178acb3e8853afaf5a7dea5b8fbeccf156785b595e7977a,true,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false
34,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7580,125,175,1144705,b5016a4211d974c7258b11f62515e6c959b3198f671324636c25d5ae870d5e14,false,true,true,true,false,true,true,false,true,false,false,false,true,true,true,true,false,true,false,true,true
35,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7611,31,81,1149292,d9dfc6d193a77677c5b447dd407fff62dec0b17870ce2c96eca168af1381c967,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
36,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7739,46,96,1168635,1ef7dec5985996df4eb301b27b6250d805a3c5cb4e1881f6c3ebdca450c7d446,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,false
37,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7783,125,175,1175358,024f369a9293d6567747e6d35572e9eed002ef84611ec872c31029f70931c8ac,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false
38,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7815,81,131,1180146,02bd1b2e78a9d11ec3c1e053085fb170ed24431281ef6661b6044e15475eec9f,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
39,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,7860,69,119,1186929,9574a6fcfcf31f56cced0faf84f2f1b4b778a77f8aab52dc5ef1cf57897f004b,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
40,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,8227,74,124,1242351,d2e3056c9f8596965b7e75ce1df9b0f11d046ba63102d198ac9e4a2c547b02e7,false,false,true,true,false,false,true,false,true,false,false,true,true,false,false,false,false,true,false,false,false
41,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,8276,36,86,1249712,a28e168d839ea82fe1f8158ad482014e0c5ab4b658e8d13de83ce315ad64bf42,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true
42,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,8397,45,95,1267992,a723abe325987402617d867f0400f3a69319512329091d670b0e7caca0673bdd,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
43,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,8582,125,175,1296007,04fae5deae79fd9cec29049039e27999824b4c239cf8d965323f35aca0ca33d1,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,true
44,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,8585,109,159,1296444,c4e2ceebe256d892872341d7ff6370408a686996a90b1877e4c5f41a50bedac1,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
45,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,8878,121,171,1340699,865d48ffe15e728c7e206ef1d5211e9de9d2f237a1000072f5466a12787be72a,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,false,true,true,true,false
46,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,8931,29,79,1348610,ead868ee25eef4db83cf4ff384186c3080b48383ecdd2e04a9354b7cf7d79cd1,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false
