family,model,score_mode,alpha,success_count,success_rate,elapsed_seconds,checkpoint_sha256,selection_file_sha256,results_path,manifest_path
c3_raw,c3,state_v_plus_first_q,0.1,26,52.0,1123.078561782837,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_0p1/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_0p1/protocol_manifest.json
c3_raw,c3,state_v_plus_first_q,0.25,22,44.0,1290.0099368095398,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_0p25/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_0p25/protocol_manifest.json
c3_raw,c3,state_v_plus_first_q,0.5,21,42.0,1349.1827971935272,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_0p5/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_0p5/protocol_manifest.json
c3_raw,c3,state_v_plus_first_q,1.0,21,42.0,1291.4660449028015,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_1/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_1/protocol_manifest.json
c3_raw,c3,state_v_plus_first_q,2.0,22,44.0,1268.7674689292908,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_2/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_raw/alpha_2/protocol_manifest.json
c3_zscore,c3,state_v_plus_first_q2,0.1,31,62.0,968.0837988853455,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_0p1/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_0p1/protocol_manifest.json
c3_zscore,c3,state_v_plus_first_q2,0.25,26,52.0,1182.0811166763306,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_0p25/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_0p25/protocol_manifest.json
c3_zscore,c3,state_v_plus_first_q2,0.5,24,48.0,1274.8174183368683,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_0p5/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_0p5/protocol_manifest.json
c3_zscore,c3,state_v_plus_first_q2,1.0,24,48.0,1203.7601909637451,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_1/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_1/protocol_manifest.json
c3_zscore,c3,state_v_plus_first_q2,2.0,25,50.0,1203.067260503769,5e240053d7c33fc016ef2ff64f3a4a79706dbe10dfde347d5c5f3cd45043e5b2,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_2/results.json,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_first_q_alpha_sweep_023e8f8_20260906/c3_zscore/alpha_2/protocol_manifest.json
