protocol,episode_position,pair_id,valid_row_rank,episode_index,start_step,goal_step,c4__f_only,c4__g_only,c4__f_plus_g,c4__f_plus_g_first,c4__g_only_f_rollout_mean,c4__f_plus_g_first_q2,v1_c__f_only,v1_c__g_only,v1_c__f_plus_g,v1_c__f_plus_g_first,v1_c__g_only_f_rollout_mean,v1_c__f_plus_g_first_q2
o25,1,O25-P01,112317,638,29,54,0,0,1,0,1,0,0,0,1,1,0,0
o25,2,O25-P02,119538,679,34,59,0,1,1,0,1,0,0,0,1,0,0,0
o25,3,O25-P03,151260,859,76,101,1,1,1,1,1,1,1,1,1,1,1,1
o25,4,O25-P04,157077,892,85,110,1,1,1,1,1,1,1,1,1,1,1,1
o25,5,O25-P05,162157,921,61,86,1,0,1,0,0,0,1,1,0,1,1,1
o25,6,O25-P06,165748,941,132,157,1,1,1,1,1,1,1,0,1,1,0,1
o25,7,O25-P07,225475,1281,19,44,0,0,0,0,0,0,0,0,0,0,0,0
o25,8,O25-P08,290801,1652,49,74,0,0,1,1,1,1,0,1,1,1,1,1
o25,9,O25-P09,321282,1825,82,107,1,1,1,1,1,1,1,1,1,1,1,1
o25,10,O25-P10,354577,2014,113,138,1,1,1,0,0,0,1,0,0,0,0,0
o25,11,O25-P11,399935,2272,63,88,1,1,1,0,1,1,1,1,1,1,1,1
o25,12,O25-P12,487093,2767,101,126,0,0,0,0,0,0,0,0,0,0,0,0
o25,13,O25-P13,623963,3545,43,68,1,1,0,1,1,1,1,0,1,1,0,0
o25,14,O25-P14,652593,3707,161,186,1,1,1,1,1,1,1,1,1,1,1,1
o25,15,O25-P15,708239,4024,15,40,0,0,0,0,0,0,0,0,0,0,0,0
o25,16,O25-P16,762086,4330,6,31,1,1,1,1,1,1,1,1,1,1,1,1
o25,17,O25-P17,772405,4388,117,142,1,1,1,1,1,1,1,0,0,1,0,1
o25,18,O25-P18,780399,4434,15,40,0,0,0,0,0,0,0,0,0,0,0,0
o25,19,O25-P19,784408,4456,152,177,1,1,1,1,1,1,1,1,1,1,1,1
o25,20,O25-P20,792665,4503,137,162,0,1,1,1,1,1,0,1,1,0,0,1
o25,21,O25-P21,792799,4504,95,120,1,1,1,1,1,1,1,1,1,1,1,1
o25,22,O25-P22,880604,5003,76,101,1,1,1,1,1,1,1,1,1,1,1,1
o25,23,O25-P23,903261,5132,29,54,0,0,0,0,0,0,0,1,1,0,0,0
o25,24,O25-P24,926581,5264,117,142,1,1,1,1,1,1,1,0,1,1,1,1
o25,25,O25-P25,959943,5454,39,64,0,0,0,0,1,0,0,0,0,0,0,0
o25,26,O25-P26,976059,5545,139,164,1,0,0,0,1,0,1,0,1,1,1,1
o25,27,O25-P27,1111722,6316,106,131,1,0,0,0,0,0,1,0,0,0,0,0
o25,28,O25-P28,1133186,6438,98,123,0,0,0,0,0,0,0,0,0,0,0,0
o25,29,O25-P29,1152014,6545,94,119,1,1,1,1,1,1,1,1,1,1,1,1
o25,30,O25-P30,1193136,6779,32,57,1,1,1,1,1,1,1,0,1,1,1,1
o25,31,O25-P31,1227337,6973,89,114,1,1,1,1,1,1,1,1,1,1,1,1
o25,32,O25-P32,1232914,7005,34,59,0,1,0,1,1,1,0,0,1,0,0,0
o25,33,O25-P33,1262734,7174,110,135,1,0,0,1,0,0,1,1,0,1,1,1
o25,34,O25-P34,1294896,7357,64,89,1,1,1,0,0,0,1,1,1,1,1,1
o25,35,O25-P35,1334227,7580,147,172,1,0,1,1,0,0,1,1,1,1,0,1
o25,36,O25-P36,1339577,7611,41,66,1,1,1,1,1,1,1,1,1,1,1,1
o25,37,O25-P37,1362124,7739,60,85,1,1,1,1,1,1,1,1,0,1,1,1
o25,38,O25-P38,1369954,7783,146,171,1,1,1,1,0,1,1,1,0,1,1,1
o25,39,O25-P39,1375538,7815,98,123,0,0,0,0,0,0,0,0,0,0,0,0
o25,40,O25-P40,1383445,7860,85,110,1,1,1,1,1,1,1,1,1,1,1,1
o25,41,O25-P41,1448041,8227,89,114,1,1,1,1,1,1,1,1,1,1,1,1
o25,42,O25-P42,1456620,8276,44,69,1,1,1,1,0,1,1,0,1,1,0,1
o25,43,O25-P43,1477930,8397,58,83,1,0,1,1,1,1,1,0,1,1,1,1
o25,44,O25-P44,1510580,8582,148,173,1,1,1,0,1,1,1,1,1,1,1,1
o25,45,O25-P45,1511093,8585,133,158,1,0,1,1,0,1,1,1,1,1,0,1
o25,46,O25-P46,1562671,8878,143,168,1,1,0,1,1,0,1,1,0,1,1,1
o25,47,O25-P47,1571890,8931,34,59,1,1,1,1,1,1,1,0,1,0,1,0
o25,48,O25-P48,1631081,9267,89,114,1,1,1,1,1,1,1,1,1,1,1,1
o25,49,O25-P49,1708423,9706,167,192,1,1,1,1,1,1,1,1,1,1,1,1
o25,50,O25-P50,1717057,9756,1,26,1,1,1,1,1,1,1,1,1,1,1,1
o50,1,O50-P01,96363,638,25,75,0,0,0,0,0,0,0,0,0,0,0,0
o50,2,O50-P02,102558,679,29,79,0,1,0,1,1,1,0,0,0,1,0,1
o50,3,O50-P03,129774,859,65,115,1,1,1,1,1,1,1,1,1,1,0,1
o50,4,O50-P04,134764,892,72,122,0,0,0,0,0,0,0,0,0,0,0,1
o50,5,O50-P05,139123,921,52,102,0,0,1,0,0,0,0,0,0,1,0,1
o50,6,O50-P06,142203,941,112,162,1,1,1,1,1,1,1,1,1,1,1,1
o50,7,O50-P07,193447,1281,16,66,0,0,0,0,0,0,0,0,0,0,0,0
o50,8,O50-P08,249494,1652,42,92,0,1,1,1,0,1,0,1,1,1,1,1
o50,9,O50-P09,275644,1825,69,119,1,1,1,1,1,1,1,1,1,1,1,1
o50,10,O50-P10,304210,2014,96,146,0,0,0,0,0,0,0,0,0,0,0,0
o50,11,O50-P11,343126,2272,54,104,0,1,0,1,1,1,0,1,0,1,1,1
o50,12,O50-P12,417903,2767,86,136,0,0,0,0,0,0,0,0,0,0,0,0
o50,13,O50-P13,535331,3545,36,86,1,1,1,1,1,1,1,0,1,1,0,1
o50,14,O50-P14,559894,3707,137,187,0,0,1,1,0,1,0,0,1,1,1,0
o50,15,O50-P15,607636,4024,12,62,0,0,0,0,0,0,0,0,0,0,0,0
o50,16,O50-P16,653833,4330,3,53,0,0,0,0,0,0,0,0,0,0,0,0
o50,17,O50-P17,662685,4388,97,147,0,0,0,0,0,0,0,0,0,0,0,0
o50,18,O50-P18,669546,4434,12,62,0,0,0,0,0,0,0,0,0,0,0,0
o50,19,O50-P19,672986,4456,130,180,1,0,1,1,0,1,1,1,1,1,1,1
o50,20,O50-P20,680068,4503,115,165,1,1,1,1,1,1,1,1,1,1,1,1
o50,21,O50-P21,680184,4504,80,130,0,0,0,0,0,0,0,0,0,0,0,0
o50,22,O50-P22,755516,5003,63,113,1,0,1,1,0,0,1,1,1,1,1,1
o50,23,O50-P23,774954,5132,22,72,0,0,0,1,0,0,0,0,1,0,0,0
o50,24,O50-P24,794962,5264,98,148,0,0,0,0,0,0,0,0,0,0,0,0
o50,25,O50-P25,823585,5454,31,81,1,0,0,0,0,0,1,0,1,1,1,1
o50,26,O50-P26,837413,5545,118,168,1,1,1,1,1,1,1,1,1,1,1,1
o50,27,O50-P27,953806,6316,90,140,0,0,0,0,0,0,0,0,0,0,0,0
o50,28,O50-P28,972220,6438,82,132,0,0,0,0,0,0,0,0,0,0,0,0
o50,29,O50-P29,988371,6545,76,126,0,0,1,0,0,0,0,0,0,0,0,0
o50,30,O50-P30,1023656,6779,27,77,1,1,1,1,1,1,1,1,1,1,1,1
o50,31,O50-P31,1052995,6973,72,122,1,0,0,1,1,1,1,1,0,0,0,0
o50,32,O50-P32,1057784,7005,29,79,0,0,1,0,0,0,0,0,0,0,0,0
o50,33,O50-P33,1083364,7174,90,140,0,0,0,0,0,0,0,0,0,0,0,0
o50,34,O50-P34,1110958,7357,51,101,1,0,1,1,1,1,1,1,1,1,1,1
o50,35,O50-P35,1144705,7580,125,175,1,0,1,1,1,1,1,0,1,1,1,1
o50,36,O50-P36,1149292,7611,31,81,1,1,1,1,1,1,1,0,1,1,1,1
o50,37,O50-P37,1168635,7739,46,96,1,1,0,1,1,1,1,0,1,1,1,1
o50,38,O50-P38,1175358,7783,125,175,1,0,0,0,1,1,1,1,0,1,1,1
o50,39,O50-P39,1180146,7815,81,131,0,0,0,0,0,0,0,0,0,0,0,0
o50,40,O50-P40,1186929,7860,69,119,1,1,1,1,1,1,1,0,1,1,1,1
o50,41,O50-P41,1242351,8227,74,124,0,0,0,0,0,0,0,0,0,0,0,0
o50,42,O50-P42,1249712,8276,36,86,0,1,0,0,1,0,0,0,0,1,0,0
o50,43,O50-P43,1267992,8397,45,95,1,0,1,0,0,0,1,0,0,1,1,0
o50,44,O50-P44,1296007,8582,125,175,1,1,0,0,1,1,1,1,0,1,0,1
o50,45,O50-P45,1296444,8585,109,159,1,1,1,1,1,1,1,1,1,1,1,1
o50,46,O50-P46,1340699,8878,121,171,1,1,0,1,1,1,1,1,1,1,1,1
o50,47,O50-P47,1348610,8931,29,79,0,0,1,1,0,0,0,0,1,0,0,0
o50,48,O50-P48,1399390,9267,73,123,0,0,0,0,0,0,0,0,0,0,0,0
o50,49,O50-P49,1465749,9706,143,193,1,1,1,1,1,1,1,1,0,1,1,1
o50,50,O50-P50,1473151,9755,146,196,1,0,1,1,0,1,1,1,1,1,0,1
o100,1,O100-P01,64454,638,16,116,0,0,0,0,0,0,0,0,0,0,0,0
o100,2,O100-P02,68598,679,19,119,0,0,0,0,0,0,0,0,0,0,0,0
