epoch,optimizer_updates,metrics_step_zero_based,train_real_vector_loss,train_real_goal_loss,train_predicted_vector_loss,train_predicted_goal_loss,train_c4_total_loss,validation_real_vector_loss,validation_real_goal_loss,validation_predicted_vector_loss,validation_predicted_goal_loss,validation_c4_total_loss
1,12796,12795,2051.62084961,28998.7324219,2075.25,29124.4394531,31125.0507812,2375.67919922,17359.109375,2411.95751953,17514.0683594,19830.4042969
2,25592,25591,2462.07714844,46252.609375,2496.73803711,46399.3164062,48805.3398438,1927.70800781,17039.0820312,1956.92370605,17159.0527344,19041.3574219
3,38388,38387,2130.45581055,43770.4570312,2159.65258789,43883.4882812,45972.0820312,1799.95727539,17440.1738281,1827.59997559,17530.6289062,19299.2324219
4,51184,51183,1987.46838379,42639.0039062,2014.67785645,42731.234375,44686.0351562,1693.97680664,17487.8769531,1720.40197754,17543.890625,19223.0839844
5,63980,63979,1905.43249512,41627.9492188,1932.27258301,41695.640625,43580.5,1638.98400879,17149.09375,1666.45983887,17246.9863281,18850.7519531
6,76776,76775,1852.01794434,41046.5664062,1877.58349609,41096.6289062,42936.2539062,1615.71032715,17131.4746094,1642.44494629,17198.7734375,18794.1835938
7,89572,89571,1818.97583008,40580.4921875,1844.64562988,40628.3515625,42436.0664062,1585.0612793,16514.2773438,1611.50939941,16579.0761719,18144.96875
8,102368,102367,1794.21533203,39862.6953125,1819.44128418,39890.8515625,41683.5820312,1572.70825195,16334.7636719,1597.97351074,16392.6933594,17949.0839844
9,115164,115163,1776.03796387,39589.3320312,1800.8671875,39611.2890625,41388.7851562,1560.6361084,16333.9179688,1585.95739746,16384.0371094,17932.2871094
10,127960,127959,1773.81481934,39493.4140625,1798.7298584,39514.1367188,41290.0664062,1557.86108398,16346.4228516,1583.20532227,16395.3847656,17941.4453125
