epoch,optimizer_updates,metrics_step_zero_based,train_vector_td_loss,train_goal_projection_loss,train_c4_total_loss,validation_vector_td_loss,validation_goal_projection_loss,validation_c4_total_loss
1,12796,12795,2043.06311035,28938.6777344,30981.734375,2370.06518555,17268.7460938,19638.7734375
2,25592,25591,2459.60424805,46044.0546875,48503.7617188,1936.54418945,16932.0878906,18868.6523438
3,38388,38387,2143.4597168,43526.640625,45670.171875,1815.85314941,17289.4667969,19105.3359375
4,51184,51183,2004.11877441,42333.9882812,44338.140625,1709.90856934,17260.4277344,18970.3125
5,63980,63979,1926.28430176,41293.9921875,43220.3359375,1663.99304199,16945.3339844,18609.3359375
6,76776,76775,1876.125,40566.9375,42443.0078125,1642.12365723,16867.9433594,18510.1035156
7,89572,89571,1846.15942383,40121.4023438,41967.5742188,1615.33605957,16292.28125,17907.5898438
8,102368,102367,1825.2088623,39335.1914062,41160.40625,1606.46435547,16064.5478516,17670.9882812
9,115164,115163,1807.84350586,39042.71875,40850.5820312,1593.8939209,16043.6816406,17637.5410156
10,127960,127959,1804.82165527,38950.5117188,40755.3945312,1590.5065918,16062.4316406,17652.9121094
