pair_id,episode_index,start_step,goal_step,valid_row_rank,f_only,g_only,f_plus_g,first_q,mean_q,first_q2,c3,f_or_c3,any_method
P01,638,29,54,112317,0,0,1,1,0,0,1,1,1
P02,679,34,59,119538,0,0,1,0,0,0,1,1,1
P03,859,76,101,151260,1,1,1,1,1,1,1,1,1
P04,892,85,110,157077,1,1,1,1,1,1,1,1,1
P05,921,61,86,162157,1,1,0,1,1,1,1,1,1
P06,941,132,157,165748,1,0,1,1,0,1,1,1,1
P07,1281,19,44,225475,0,0,0,0,0,0,0,0,0
P08,1652,49,74,290801,0,1,1,1,1,1,1,1,1
P09,1825,82,107,321282,1,1,1,1,1,1,1,1,1
P10,2014,113,138,354577,1,0,0,0,0,0,0,1,1
P11,2272,63,88,399935,1,1,1,1,1,1,1,1,1
P12,2767,101,126,487093,0,0,0,0,0,0,0,0,0
P13,3545,43,68,623963,1,0,1,1,0,0,0,1,1
P14,3707,161,186,652593,1,1,1,1,1,1,1,1,1
P15,4024,15,40,708239,0,0,0,0,0,0,0,0,0
P16,4330,6,31,762086,1,1,1,1,1,1,1,1,1
P17,4388,117,142,772405,1,0,0,1,0,1,1,1,1
P18,4434,15,40,780399,0,0,0,0,0,0,0,0,0
P19,4456,152,177,784408,1,1,1,1,1,1,1,1,1
P20,4503,137,162,792665,0,1,1,0,0,1,1,1,1
P21,4504,95,120,792799,1,1,1,1,1,1,1,1,1
P22,5003,76,101,880604,1,1,1,1,1,1,1,1,1
P23,5132,29,54,903261,0,1,1,0,0,0,1,1,1
P24,5264,117,142,926581,1,0,1,1,1,1,0,1,1
P25,5454,39,64,959943,0,0,0,0,0,0,1,1,1
P26,5545,139,164,976059,1,0,1,1,1,1,1,1,1
P27,6316,106,131,1111722,1,0,0,0,0,0,0,1,1
P28,6438,98,123,1133186,0,0,0,0,0,0,0,0,0
P29,6545,94,119,1152014,1,1,1,1,1,1,1,1,1
P30,6779,32,57,1193136,1,0,1,1,1,1,1,1,1
P31,6973,89,114,1227337,1,1,1,1,1,1,1,1,1
P32,7005,34,59,1232914,0,0,1,0,0,0,0,0,1
P33,7174,110,135,1262734,1,1,0,1,1,1,1,1,1
P34,7357,64,89,1294896,1,1,1,1,1,1,0,1,1
P35,7580,147,172,1334227,1,1,1,1,0,1,1,1,1
P36,7611,41,66,1339577,1,1,1,1,1,1,1,1,1
P37,7739,60,85,1362124,1,1,0,1,1,1,1,1,1
P38,7783,146,171,1369954,1,1,0,1,1,1,1,1,1
P39,7815,98,123,1375538,0,0,0,0,0,0,0,0,0
P40,7860,85,110,1383445,1,1,1,1,1,1,1,1,1
P41,8227,89,114,1448041,1,1,1,1,1,1,1,1,1
P42,8276,44,69,1456620,1,0,1,1,0,1,1,1,1
P43,8397,58,83,1477930,1,0,1,1,1,1,1,1,1
P44,8582,148,173,1510580,1,1,1,1,1,1,1,1,1
P45,8585,133,158,1511093,1,1,1,1,0,1,1,1,1
P46,8878,143,168,1562671,1,1,0,1,1,1,1,1,1
P47,8931,34,59,1571890,1,0,1,0,1,0,1,1,1
P48,9267,89,114,1631081,1,1,1,1,1,1,1,1,1
P49,9706,167,192,1708423,1,1,1,1,1,1,1,1,1
P50,9756,1,26,1717057,1,1,1,1,1,1,1,1,1
