variant,method,display_name,epoch,train_method_loss,train_base_td_loss,validation_base_td_loss,train_metric_semantics,validation_metric_semantics,cross_method_ranking_metric
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,1,20750.3535156,2263.78710938,2554.42626953,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,2,31500.5371094,2537.23974609,1876.44384766,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,3,28410.640625,1736.53222656,1342.49780273,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,4,27250.5625,1373.39294434,1146.60925293,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,5,26522.4765625,1233.03771973,1062.37805176,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,6,26436.8242188,1159.3248291,1008.44763184,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,7,26370.9980469,1112.81958008,982.155761719,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,8,26048.2246094,1087.21179199,966.755310059,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,9,25904.4550781,1076.06970215,959.837219238,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
c,actor_free_td_lewm_v1_c,V1-C Goal-Projected TD,10,25927.3046875,1071.67370605,959.264770508,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
d,actor_free_td_lewm_v1_d,V1-D Goal-Value Weighted TD,1,288.578887939,361.896057129,546.340820312,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
d,actor_free_td_lewm_v1_d,V1-D Goal-Value Weighted TD,2,478.09173584,690.855407715,811.280334473,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
d,actor_free_td_lewm_v1_d,V1-D Goal-Value Weighted TD,3,547.964782715,871.102478027,913.636413574,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
d,actor_free_td_lewm_v1_d,V1-D Goal-Value Weighted TD,4,556.830749512,912.990722656,937.133483887,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
