version,variant,method,score_mode,g_first_weight,success_count,success_rate,success_rate_percent,checkpoint_sha256,selection_sha256,episode_selection_file_sha256,action_normalization_sha256,evaluation_commit,job_id,source_launcher_manifest
v0,c,actor_free_td_lewm_v0_c,f_plus_g_first,0.25,26,0.52,52.0,282098cb541a3005b45c36b5fcfcdd4358b35f88bac62fe750368d0ec862bf23,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v0__c__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_c_first_alpha0p25_epoch10/formal/_launcher/launcher_manifest.json
v0,d,actor_free_td_lewm_v0_d,f_plus_g_first,0.25,24,0.48,48.0,fb5694c3c1fcedf4fdb7a7344f9daed5833651f428a99ecbfe3b9a8f7c57a36b,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v0__d__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_non_c_alpha_0p25/formal/_launcher/launcher_manifest.json
v0,f,actor_free_td_lewm_v0_f,f_plus_g_first,0.25,24,0.48,48.0,b1d2b343e2148d357259272880f076f59ef3cf8131460c5ab903ed20239eb3f1,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v0__f__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_non_c_alpha_0p25/formal/_launcher/launcher_manifest.json
v0,g1,actor_free_td_lewm_v0_g1,f_plus_g_first,0.25,20,0.4,40.0,684b2fdf8ecacd43227635a34bcc3d3aa3b97bef7762748e05386e2fca54a4c2,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v0__g1__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_non_c_alpha_0p25/formal/_launcher/launcher_manifest.json
v0,g2,actor_free_td_lewm_v0_g2,f_plus_g_first,0.25,23,0.46,46.0,ffb35c215941fae8dda3490f53d6711c2e8ef44bdc05dc69c85b4461eb9b557b,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v0__g2__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_non_c_alpha_0p25/formal/_launcher/launcher_manifest.json
v0,g3,actor_free_td_lewm_v0_g3,f_plus_g_first,0.25,24,0.48,48.0,8c71b1dca1f6b34cfb55499360b6f5cda05f375f130618e83b162232368aa896,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v0__g3__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_non_c_alpha_0p25/formal/_launcher/launcher_manifest.json
v1,c,actor_free_td_lewm_v1_c,f_plus_g_first,0.25,28,0.56,56.0,88bd65c48a6c701852f50552ec8f9109d6ae8ac57c467de207aa2c652c0f59a3,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v1__c__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_c_first_alpha0p25_epoch10/formal/_launcher/launcher_manifest.json
v1,d,actor_free_td_lewm_v1_d,f_plus_g_first,0.25,25,0.5,50.0,3115fffeb83ba6ae7e0c272913fe7a1ba16d42953b2185f6a3f7b168899d819a,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v1__d__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_non_c_alpha_0p25/formal/_launcher/launcher_manifest.json
v1,f,actor_free_td_lewm_v1_f,f_plus_g_first,0.25,26,0.52,52.0,b4de1b511075d763194ad1e332d127cbe390553738162f3a402ef8847bb74fd0,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v1__f__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_non_c_alpha_0p25/formal/_launcher/launcher_manifest.json
v1,g1,actor_free_td_lewm_v1_g1,f_plus_g_first,0.25,26,0.52,52.0,c224d18fcd8390247f115239c4b2db013479a062438cca92003674c739f3e24b,88c204770f33c0b0220057d45b187766e3cfc54912e3f5ca49f2aa93d16437e9,e46ea81cce2e6a9a5df05ba04893b4181cbd8979340111a012c30f1efa2d7ee7,57f4d3c252e1805f4af1f614d20d1d1a064fa0d1d463ed5eb8ecf9dfc2b1a723,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,v1__g1__f_plus_g_first__alpha_0p25,/root/autodl-tmp/tdwm/outputs/actor_free_td_lewm_new_scores_5456f3d/fixed_non_c_alpha_0p25/formal/_launcher/launcher_manifest.json
