variant,method,display_name,epoch,train_total_loss,train_prediction_loss,train_prediction_online_reference_mse,train_online_ema_latent_drift,train_base_hybrid_td_loss,train_method_hybrid_td_loss,validation_total_loss,validation_prediction_loss,validation_prediction_online_reference_mse,validation_online_ema_latent_drift,validation_base_hybrid_td_loss,validation_method_hybrid_td_loss
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,1,9717.57617188,0.552733778954,0.427740126848,0.131658673286,2790.18017578,14458.8134766,2009.12219238,0.714682519436,0.713848650455,0.101873449981,2003.99926758,14393.3496094
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,2,12382.6005859,0.984645545483,0.904057323933,0.0900564193726,1701.16113281,12380.1064453,1300.4699707,1.05282270908,1.03984642029,0.0499338693917,1294.6529541,13306.1601562
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,3,12982.9570312,1.26522219181,1.19147980213,0.0856111943722,1353.90002441,12979.7294922,1372.11254883,1.33695483208,1.38001775742,0.0851991251111,1365.52819824,15104.9619141
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,4,13336.8457031,1.49104583263,1.42580771446,0.0809675604105,1238.38415527,13333.3496094,1254.19091797,1.58147168159,1.60187029839,0.0622551143169,1247.66882324,14945.2978516
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,5,12624.5800781,1.61978018284,1.56647205353,0.0710865855217,1075.77966309,12620.7666016,1037.17175293,1.64885103703,1.63729989529,0.045760832727,1030.5123291,12746.4951172
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,6,11499.3945312,1.69215846062,1.64910876751,0.0627696290612,954.646972656,11495.2451172,882.874938965,1.66727435589,1.68719506264,0.0382052510977,875.99206543,12064.5351562
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,7,11191.4472656,1.74858725071,1.71367681026,0.0546687208116,860.867370605,11187.1513672,823.20098877,1.77644598484,1.78767096996,0.0301241856068,816.24005127,11522.5195312
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,8,11430.0039062,1.79265201092,1.76068949699,0.0496339164674,816.294616699,11425.5566406,751.960021973,1.78386640549,1.79737484455,0.0303683374077,745.194091797,10707.5488281
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,9,10058.2568359,1.79162657261,1.76342892647,0.0445047132671,779.884155273,10053.8105469,694.821594238,1.85497546196,1.86781919003,0.0235284008086,688.003234863,10029.3769531
c,actor_free_td_lewm_v2_ema_sg_c,V2-EMA-SG-C Coupled Hybrid Goal-Projected TD,10,10515.9697266,1.80512988567,1.77974581718,0.042023383081,782.472961426,10511.4609375,738.202148438,1.84390127659,1.88625311852,0.0352713055909,731.347961426,10444.9589844
